Date;N;N change;Value;Value change;rate;rate change
01.02.2009;4967;0;6421;0;14.20;0.00
01.03.2009;11056;6089;14384;7963;14.47;0.27
01.04.2009;18542;7486;23330;8946;14.60;0.13
01.05.2009;26695;8153;32453;9123;14.88;0.28
01.06.2009;34514;7819;41733;9280;14.62;-0.26
01.07.2009;43731;9217;52363;10630;14.75;0.13
01.08.2009;54201;10470;63288;10925;14.80;0.05
01.09.2009;64428;10227;73726;10438;14.45;-0.35
01.10.2009;76373;11945;86153;12427;14.41;-0.04
01.11.2009;90933;14560;101377;15224;14.20;-0.21
01.12.2009;105376;14443;116891;15514;13.92;-0.28
01.01.2010;128004;22628;142968;26077;13.72;-0.20
01.02.2010;7354;-120650;8016;-134952;13.93;0.21
01.03.2010;20827;13473;23154;15138;13.64;-0.29
01.04.2010;39795;18968;46163;23009;13.42;-0.22
01.05.2010;61322;21527;72265;26102;13.41;-0.01
01.06.2010;81715;20393;97227;24962;13.41;0.00
01.07.2010;105624;23909;125900;28673;13.32;-0.09
01.08.2010;131331;25707;157548;31648;13.16;-0.16
01.09.2010;156876;25545;188524;30976;13.30;0.14
01.10.2010;185016;28140;222960;34436;13.22;-0.08
01.11.2010;215522;30506;260473;37513;12.75;-0.47
01.12.2010;247798;32276;301488;41015;12.61;-0.14
01.01.2011;298213;50415;364634;63146;12.45;-0.16
01.02.2011;15135;-283078;19901;-344733;12.63;0.18
01.03.2011;40421;25286;54280;34379;12.43;-0.20
01.04.2011;74750;34329;101913;47633;12.37;-0.06
01.05.2011;111521;36771;152437;50524;12.12;-0.25
01.06.2011;151795;40274;204872;52435;12.16;0.04
01.07.2011;195803;44008;265304;60432;12.09;-0.07
01.08.2011;238957;43154;323275;57971;11.84;-0.25
01.09.2011;286350;47393;386388;63113;11.92;0.08
01.10.2011;337076;50726;452674;66286;11.57;-0.35
01.11.2011;390319;53243;521529;68855;11.74;0.17
01.12.2011;446614;56295;596508;74979;11.40;-0.34
01.01.2012;520658;74044;697417;100909;11.63;0.23
01.02.2012;28243;-492415;38606;-658811;11.83;0.20
01.03.2012;73249;45006;102355;63749;11.92;0.09
01.04.2012;126750;53501;179153;76798;12.09;0.17
01.05.2012;184513;57763;264049;84896;12.08;-0.01
01.06.2012;239631;55118;343701;79652;12.18;0.10
01.07.2012;294868;55237;424105;80404;12.20;0.02
01.08.2012;352542;57674;510527;86422;12.25;0.05
01.09.2012;416659;64117;604721;94194;12.26;0.01
01.10.2012;475235;58576;690820;86099;12.34;0.08
01.11.2012;543019;67784;791792;100972;12.44;0.10
01.12.2012;611061;68042;895130;103338;12.55;0.11
01.01.2013;690050;78989;1017316;122186;12.67;0.12
01.02.2013;33580;-656470;51472;-965844;12.69;0.02
01.03.2013;83762;50182;131412;79940;12.83;0.14
01.04.2013;142067;58305;224235;92823;12.89;0.06
01.05.2013;210950;68883;336199;111964;12.62;-0.27
01.06.2013;269452;58502;429229;93030;12.70;0.08
01.07.2013;335210;65758;535188;105959;12.62;-0.08
01.08.2013;409887;74677;654765;119577;12.45;-0.17
01.09.2013;484319;74432;774624;119859;12.41;-0.04
01.10.2013;556099;71780;894584;119960;12.37;-0.04
01.11.2013;637642;81543;1029124;134540;12.26;-0.11
01.12.2013;717498;79856;1160728;131604;11.93;-0.33
01.01.2014;823175;105677;1338731;178003;12.12;0.19
01.02.2014;47662;-775513;79003;-1259728;12.28;0.16
01.03.2014;117701;70039;197265;118262;12.29;0.01
01.04.2014;197896;80195;333115;135850;11.97;-0.32
01.05.2014;291566;93670;493603;160488;12.30;0.33
01.06.2014;369809;78243;628163;134560;12.20;-0.10
01.07.2014;448163;78354;766009;137846;12.23;0.03
01.08.2014;538045;89882;922855;156846;12.22;-0.01
01.09.2014;620874;82829;1067947;145092;12.29;0.07
01.10.2014;703771;82897;1215518;147571;12.44;0.15
01.11.2014;796585;92814;1379684;164166;12.85;0.41
01.12.2014;881772;85187;1528991;149307;12.62;-0.23
01.01.2015;1012064;130292;1753294;224303;13.17;0.55
01.02.2015;43016;-969048;70259;-1683035;14.16;0.99
01.03.2015;92052;49036;149640;79381;14.71;0.55
01.04.2015;135162;43110;217176;67536;14.70;-0.01
01.05.2015;184431;49269;297857;80681;14.05;-0.65
01.06.2015;228196;43765;371332;73475;13.46;-0.59
01.07.2015;280440;52244;458999;87667;13.29;-0.17
01.08.2015;338512;58072;555335;96336;13.44;0.15
01.09.2015;396147;57635;650852;95517;12.88;-0.56
01.10.2015;461182;65035;759239;108387;13.12;0.24
01.11.2015;526707;65525;870312;111073;12.89;-0.23
01.12.2015;594192;67485;982732;112420;12.29;-0.60
01.01.2016;699419;105227;1157760;175028;12.92;0.63
01.02.2016;37145;-662274;61771;-1095989;12.50;-0.42
01.03.2016;117372;80227;204390;142619;12.11;-0.39
01.04.2016;188449;71077;323380;118990;12.89;0.78
01.05.2016;261125;72676;446285;122905;12.92;0.03
01.06.2016;322703;61578;550082;103797;13.08;0.16
01.07.2016;390085;67382;664227;114145;12.93;-0.15
01.08.2016;455219;65134;774990;110763;12.83;-0.10
01.09.2016;528274;73055;899870;124880;12.66;-0.17
01.10.2016;602553;74279;1026667;126797;12.51;-0.15
01.11.2016;674727;72174;1151728;125061;12.41;-0.10
01.12.2016;753064;78337;1288531;136803;12.16;-0.25
01.01.2017;856521;103457;1472380;183849;11.54;-0.62
01.02.2017;40039;-816482;71083;-1401297;11.84;0.30
01.03.2017;97826;57787;174330;103247;11.94;0.10
01.04.2017;178334;80508;321074;146744;11.68;-0.26
01.05.2017;259996;81662;470577;149503;11.44;-0.24
01.06.2017;338765;78769;615484;144907;11.33;-0.11
01.07.2017;423482;84717;772692;157208;11.10;-0.23
01.08.2017;507866;84384;927297;154605;10.94;-0.16
01.09.2017;602220;94354;1101396;174099;10.58;-0.36
01.10.2017;700634;98414;1285259;183863;10.05;-0.53
01.11.2017;813342;112708;1498318;213059;9.95;-0.10
01.12.2017;935632;122290;1730933;232615;9.80;-0.15
01.01.2018;1086940;151308;2021402;290469;9.79;-0.01
01.02.2018;78043;-1008897;148275;-1873127;9.85;0.06
01.03.2018;180697;102654;347215;198940;9.75;-0.10
01.04.2018;299399;118702;581971;234756;9.64;-0.11
01.05.2018;424699;125300;831238;249267;9.57;-0.07
01.06.2018;542814;118115;1066642;235404;9.56;-0.01
01.07.2018;663352;120538;1309282;242640;9.48;-0.08
01.08.2018;785111;121759;1555677;246395;9.57;0.09
01.09.2018;911333;126222;1815652;259975;9.42;-0.15
01.10.2018;1033354;122021;2070498;254846;9.41;-0.01
01.11.2018;1174604;141250;2370237;299739;9.41;0.00
01.12.2018;1314573;139969;2671789;301552;9.52;0.11
01.01.2019;1471809;157236;3012702;340913;9.66;0.14
